,Year,Player,Pos,Age,Tm,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blanl,OWS,DWS,WS,WS/48,blank2,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,season17_18
0,2017.0,Alex Abrines,SG,23.0,OKC,68.0,6.0,15.514705882352942,10.1,0.56,0.7240000000000001,0.14400000000000002,1.9,7.1,4.5,5.5,1.7,0.6,8.3,15.9,,1.2,0.9,2.1,0.095,,-0.3,-2.2,-2.5,-0.1,1.9705882352941178,5.014705882352941,0.39299999999999996,1.3823529411764706,3.6323529411764706,0.381,0.5882352941176471,1.3823529411764706,0.426,0.531,0.6470588235294118,0.7205882352941176,0.898,0.2647058823529412,1.0,1.2647058823529411,0.5882352941176471,0.5441176470588235,0.11764705882352941,0.4852941176470588,1.6764705882352942,5.970588235294118,5725000.0
1,2017.0,Quincy Acy,PF,26.0,TOT,38.0,1.0,14.68421052631579,11.8,0.565,0.529,0.353,3.9,18.0,11.0,4.9,1.2,2.0,9.7,16.8,,0.5,0.5,0.9,0.08199999999999999,,-1.8,-1.2,-3.0,-0.1,1.8421052631578947,4.473684210526316,0.41200000000000003,0.9736842105263158,2.3684210526315788,0.41100000000000003,0.868421052631579,2.1052631578947367,0.413,0.521,1.1842105263157894,1.5789473684210527,0.75,0.5263157894736842,2.5,3.026315789473684,0.47368421052631576,0.3684210526315789,0.39473684210526316,0.5526315789473685,1.763157894736842,5.842105263157895,1709538.0
2,2017.0,Steven Adams,C,23.0,OKC,80.0,80.0,29.8625,16.5,0.589,0.002,0.392,13.0,15.5,14.2,5.4,1.8,2.6,16.0,16.2,,3.3,3.1,6.4,0.13,,-0.7,1.2,0.5,1.5,4.675,8.1875,0.5710000000000001,0.0,0.0125,0.0,4.675,8.175,0.5720000000000001,0.5710000000000001,1.9625,3.2125,0.611,3.525,4.1625,7.6875,1.075,1.1,0.975,1.825,2.4375,11.3125,22471910.0
3,2017.0,Arron Afflalo,SG,31.0,SAC,61.0,45.0,25.901639344262296,9.0,0.5589999999999999,0.36,0.221,0.7,8.4,4.6,7.4,0.7,0.4,8.4,14.4,,1.2,0.2,1.4,0.043,,-1.4,-2.0,-3.5,-0.6,3.0327868852459017,6.885245901639344,0.44,1.0163934426229508,2.4754098360655736,0.41100000000000003,2.0163934426229506,4.409836065573771,0.457,0.514,1.360655737704918,1.5245901639344261,0.892,0.14754098360655737,1.901639344262295,2.0491803278688523,1.278688524590164,0.3442622950819672,0.11475409836065574,0.6885245901639344,1.7049180327868851,8.442622950819672,3828652.0
4,2017.0,Alexis Ajinca,C,28.0,NOP,39.0,15.0,14.974358974358974,12.9,0.529,0.022000000000000002,0.225,8.3,23.8,16.0,3.1,1.7,3.1,13.7,17.2,,0.0,0.9,1.0,0.08,,-5.1,1.0,-4.1,-0.3,2.282051282051282,4.564102564102564,0.5,0.0,0.10256410256410256,0.0,2.282051282051282,4.461538461538462,0.511,0.5,0.7435897435897436,1.0256410256410255,0.725,1.1794871794871795,3.358974358974359,4.538461538461538,0.3076923076923077,0.5128205128205128,0.5641025641025641,0.7948717948717948,1.9743589743589745,5.3076923076923075,4961798.0
5,2017.0,Cole Aldrich,C,28.0,MIN,62.0,0.0,8.564516129032258,12.7,0.5489999999999999,0.0,0.256,11.0,23.9,17.4,6.4,2.4,3.7,15.1,9.4,,0.6,0.7,1.3,0.11599999999999999,,-2.0,2.6,0.6,0.4,0.7258064516129032,1.3870967741935485,0.523,0.0,0.0,,0.7258064516129032,1.3870967741935485,0.523,0.523,0.24193548387096775,0.3548387096774194,0.682,0.8225806451612904,1.7258064516129032,2.5483870967741935,0.4032258064516129,0.4032258064516129,0.3709677419354839,0.27419354838709675,1.3709677419354838,1.6935483870967742,7300000.0
6,2017.0,LaMarcus Aldridge,PF,31.0,SAS,72.0,72.0,32.43055555555556,18.6,0.532,0.053,0.258,8.6,16.6,12.7,9.9,1.0,3.1,7.7,24.5,,3.5,3.7,7.3,0.149,,-0.3,1.4,1.1,1.8,6.944444444444445,14.569444444444445,0.47700000000000004,0.3194444444444444,0.7777777777777778,0.41100000000000003,6.625,13.791666666666666,0.48,0.488,3.0555555555555554,3.763888888888889,0.812,2.4166666666666665,4.861111111111111,7.277777777777778,1.9305555555555556,0.6388888888888888,1.2361111111111112,1.3611111111111112,2.1944444444444446,17.26388888888889,21461010.0
7,2017.0,Tony Allen,SG,35.0,MEM,71.0,66.0,26.95774647887324,13.3,0.493,0.091,0.218,9.6,13.8,11.7,8.4,3.1,1.4,13.3,17.9,,0.2,2.9,3.1,0.077,,-1.8,2.4,0.7,1.3,3.859154929577465,8.380281690140846,0.461,0.2112676056338028,0.7605633802816901,0.278,3.647887323943662,7.619718309859155,0.479,0.473,1.1267605633802817,1.8309859154929577,0.615,2.3380281690140845,3.1690140845070425,5.507042253521127,1.380281690140845,1.619718309859155,0.4084507042253521,1.408450704225352,2.507042253521127,9.056338028169014,2116955.0
8,2017.0,Al-Farouq Aminu,SF,26.0,POR,61.0,25.0,29.065573770491802,11.3,0.506,0.455,0.292,4.8,23.5,14.1,7.9,1.7,2.0,15.2,15.4,,-0.1,2.0,1.9,0.051,,-2.3,1.2,-1.1,0.4,3.0,7.639344262295082,0.39299999999999996,1.1475409836065573,3.4754098360655736,0.33,1.8524590163934427,4.163934426229508,0.445,0.46799999999999997,1.5737704918032787,2.2295081967213113,0.706,1.2622950819672132,6.131147540983607,7.39344262295082,1.6229508196721312,0.9836065573770492,0.7213114754098361,1.540983606557377,1.6721311475409837,8.721311475409836,7319035.0
9,2017.0,Justin Anderson,SF,23.0,TOT,75.0,10.0,16.373333333333335,13.9,0.537,0.442,0.294,6.2,16.9,11.3,8.8,1.7,1.6,11.7,20.9,,0.6,1.3,1.9,0.07400000000000001,,-1.2,-0.3,-1.6,0.1,2.48,5.8533333333333335,0.424,0.7733333333333333,2.5866666666666664,0.299,1.7066666666666668,3.2666666666666666,0.522,0.49,1.36,1.72,0.7909999999999999,0.92,2.3466666666666667,3.2666666666666666,0.88,0.5466666666666666,0.30666666666666664,0.88,1.4533333333333334,7.093333333333334,1579440.0
